"V1" "V2" "V3"
-11.748251 -13.413172 -5.920791
-22.787682 -38.152706 -5.250898
0.022396 -43.209694 -5.322451
-18.867115 -65.656746 -4.380369
-3.322268 -66.101494 -5.235872
-13.5219751834869 -23.7436628341675 -7.31653506278992
-11.291312280592 -43.5787745046092 -7.03697360740913
-6.07341395049799 -32.8185169657723 -4.0357340515637
-4.4157869103667 -35.976618680087 -7.67706901996167
-3.26365341039804 -36.3563920828012 -3.7766043479626
-20.8371530659993 -48.2898733520508 -4.03597481091817
-9.49085258430159 -15.3950895793001 -6.54828794237594
-11.4812337292565 -60.896670712365 -3.9524524377452
-4.66577970259117 -28.1747903245868 -4.32811758012483
-3.49676585674286 -64.1131715393066 -3.98669167041779
-2.60484970385028 -31.978218601596 -4.52446352281878
-1.67966697231317 -34.6045060769106 -4.4448804244017
-18.2840661029426 -49.7147900328344 -7.06280445565983
-3.69551952205487 -42.5418577621232 -3.53204040385004
-2.45238067954779 -38.1686967611313 -7.0928548052907
-14.9772235141711 -24.4911886493811 -4.00773985466261
-14.894529312376 -39.6887031434074 -7.12011527258252
-20.2147286063746 -59.2080780832391 -4.71933382435849
-11.2206789957334 -23.2261233917654 -4.45224737794432
-12.2524296896798 -31.5535777258495 -7.44528790125771
-2.33629715849053 -62.4449488899925 -5.10804413123564
-6.63579410529998 -20.1088932680796 -4.95469224883849
-3.36646869182587 -30.1397575696309 -7.05072448253632
-4.71571503565149 -33.8829859020641 -7.57050402187607
-19.4719518360339 -59.0395936798631 -5.77692530447977
-4.15493122608431 -61.7873850791685 -3.80356730568794
-1.03569462109398 -43.5259464808873 -4.47132956326663
-18.2400870884166 -23.3745021259083 -4.91089014446034
-17.0476496709536 -26.4065805461309 -7.07659087115771
-18.1431558430195 -60.7524047493935 -6.05624634772539
-13.3958893115704 -17.7361946986272 -5.14233411642221
-17.8166357581295 -63.4592167868543 -5.39690093851801
-6.40742379863088 -45.6935649034454 -3.53288091101298
-21.4221477675856 -30.0794602109675 -5.35932949969643
